======================================================================
kloppy-light Benchmark
======================================================================
Memory measurement: memory_profiler (accurate)
Providers: cdf, secondspectrum, skillcorner, sportec, hawkeye, tracab, gradientsports, respovision
Layouts: long, long_ball, wide
Engines: polars
Features: kloppy, eager-to-df, csv=log/benchmark_results2.csv

Data directory: /Users/jbekkers/PycharmProjects/kloppy-light/data

Operation                     Memory         Time          Rows
----------------------------------------------------------------------

Cdf tracking file: 76.9 MiB

## Cdf  - long layout
Eager loading                 318.02 MiB     0.394s       805,931
Lazy (no collect)               1.00 MiB     0.207s           N/A
Lazy (with collect)            52.33 MiB     0.329s       805,931

## Cdf  - long_ball layout
Eager loading                  73.25 MiB     0.530s       770,873
Lazy (no collect)               0.00 MiB     0.207s           N/A
Lazy (with collect)            56.50 MiB     0.357s       770,873

## Cdf  - wide layout
Eager loading                  42.36 MiB     0.384s        35,058

## Cdf (kloppy-light) - filter pushdown
Filter: period_id==2           22.36 MiB     0.369s       401,858
Filter: frame<=25k             13.53 MiB     0.325s       334,435
Filter: combined                2.36 MiB     0.301s       334,435
Filter: team                   56.28 MiB     0.302s       385,434
Filter: player                  6.45 MiB     0.306s        10,898
Filter: between                15.56 MiB     0.341s       246,786

## Cdf (kloppy) - not supported by kloppy

## Cdf - eager to_df comparison: not supported by kloppy

Secondspectrum tracking file: 423.4 MiB

## Secondspectrum  - long layout
Eager loading                1159.84 MiB     1.249s     1,909,069
Lazy (no collect)               1.98 MiB     0.228s           N/A
Lazy (with collect)           325.31 MiB     1.232s     1,909,069

## Secondspectrum  - long_ball layout
Eager loading                 319.05 MiB     1.362s     1,826,066
Lazy (no collect)               2.00 MiB     0.235s           N/A
Lazy (with collect)           266.89 MiB     1.152s     1,826,066

## Secondspectrum  - wide layout
Eager loading                 231.61 MiB     1.253s        83,003

## Secondspectrum (kloppy-light) - filter pushdown
Filter: period_id==2          118.84 MiB     1.037s       962,343
Filter: frame<=50k             73.02 MiB     1.042s       666,517
Filter: combined              122.19 MiB     1.067s       666,517
Filter: team                  183.19 MiB     1.095s       913,033
Filter: player                 40.36 MiB     1.058s        83,003
Filter: between               204.59 MiB     1.259s       464,623

## Secondspectrum (kloppy)
Load (default)               1135.03 MiB    23.609s        83,003
Load (native coords)          818.17 MiB     6.931s        83,003

## Secondspectrum - eager to_df comparison
kloppy-light (long)           229.98 MiB     1.269s     1,909,069
kloppy-light (wide)           189.94 MiB     1.594s        83,003
kloppy to_df(polars)         1080.19 MiB     6.809s        83,003
kloppy to_df(pandas)         1300.08 MiB     8.223s        83,003

Skillcorner tracking file: 85.1 MiB

## Skillcorner  - long layout
Eager loading                 104.30 MiB     0.445s       725,006
Lazy (no collect)               0.00 MiB     0.230s           N/A
Lazy (with collect)             8.19 MiB     0.351s       725,006

## Skillcorner  - long_ball layout
Eager loading                   3.56 MiB     0.388s       693,484
Lazy (no collect)               0.02 MiB     0.234s           N/A
Lazy (with collect)             3.02 MiB     0.352s       693,484

## Skillcorner  - wide layout
Eager loading                   3.56 MiB     0.478s        31,522

## Skillcorner (kloppy-light) - filter pushdown
Filter: period_id==2            0.55 MiB     0.332s       324,461
